BetID,GameID,BetTypeID,OddsValue
0,21800001,2,190.0
1,21800001,3,212.0
2,21800001,4,212.0
3,21800001,1,-200.0
4,21800002,2,825.0
5,21800002,3,223.5
6,21800002,4,223.5
7,21800002,1,-850.0
8,21800003,2,-155.0
9,21800003,3,222.5
10,21800003,4,222.5
11,21800003,1,150.0
12,21800004,2,216.0
13,21800004,3,212.5
14,21800004,4,212.5
15,21800004,1,-220.0
16,21800005,2,260.0
17,21800005,3,209.0
18,21800005,4,209.0
19,21800005,1,-272.0
20,21800006,2,-130.0
21,21800006,3,209.0
22,21800006,4,209.0
23,21800006,1,125.0
24,21800007,2,151.0
25,21800007,3,217.0
26,21800007,4,217.0
27,21800007,1,-160.0
28,21800008,2,825.0
29,21800008,3,215.5
30,21800008,4,215.5
31,21800008,1,-1000.0
32,21800009,2,304.0
33,21800009,3,232.5
34,21800009,4,232.5
35,21800009,1,-320.0
36,21800010,2,125.0
37,21800010,3,212.0
38,21800010,4,212.0
39,21800010,1,-130.0
40,21800011,2,-365.0
41,21800011,3,208.0
42,21800011,4,208.0
43,21800011,1,337.0
44,21800012,2,-127.0
45,21800012,3,227.0
46,21800012,4,227.0
47,21800012,1,130.0
48,21800013,2,-130.0
49,21800013,3,215.0
50,21800013,4,215.0
51,21800013,1,121.0
52,21800014,2,800.0
53,21800014,3,221.0
54,21800014,4,221.0
55,21800014,1,-900.0
56,21800015,2,211.0
57,21800015,3,215.0
58,21800015,4,215.0
59,21800015,1,-230.0
60,21800016,2,143.0
61,21800016,3,225.0
62,21800016,4,225.0
63,21800016,1,-135.0
64,21800017,2,-113.0
65,21800017,3,217.0
66,21800017,4,217.0
67,21800017,1,105.0
68,21800018,2,155.0
69,21800018,3,222.0
70,21800018,4,222.0
71,21800018,1,-165.0
72,21800019,2,147.0
73,21800019,3,210.0
74,21800019,4,210.0
75,21800019,1,-135.0
76,21800020,2,248.0
77,21800020,3,216.0
78,21800020,4,216.0
79,21800020,1,-270.0
80,21800021,2,320.0
81,21800021,3,223.5
82,21800021,4,223.5
83,21800021,1,-340.0
84,21800022,2,650.0
85,21800022,3,232.0
86,21800022,4,232.0
87,21800022,1,-750.0
88,21800023,2,165.0
89,21800023,3,217.0
90,21800023,4,217.0
91,21800023,1,-167.0
92,21800024,2,-130.0
93,21800024,3,219.0
94,21800024,4,219.0
95,21800024,1,135.0
96,21800025,2,131.0
97,21800025,3,215.5
98,21800025,4,215.5
99,21800025,1,-141.0
100,21800026,2,330.0
101,21800026,3,214.0
102,21800026,4,214.0
103,21800026,1,-359.0
104,21800027,2,116.0
105,21800027,3,220.0
106,21800027,4,220.0
107,21800027,1,-120.0
108,21800028,2,-475.0
109,21800028,3,211.5
110,21800028,4,211.5
111,21800028,1,430.0
112,21800029,2,916.0
113,21800029,3,218.0
114,21800029,4,218.0
115,21800029,1,-1100.0
116,21800030,2,155.0
117,21800030,3,220.0
118,21800030,4,220.0
119,21800030,1,-155.0
120,21800031,2,-185.0
121,21800031,3,217.0
122,21800031,4,217.0
123,21800031,1,174.0
124,21800032,2,115.0
125,21800032,3,221.0
126,21800032,4,221.0
127,21800032,1,-119.0
128,21800033,2,474.0
129,21800033,3,225.0
130,21800033,4,225.0
131,21800033,1,-540.0
